t,y_numerical,y_analytical,error
0.0000000000,1.0000000000,1.0000000000,0.0000000000
0.0500000000,1.0000000000,0.9999794271,0.0000205729
0.1000000000,0.9999375130,0.9998375000,0.0001000130
0.1500000000,0.9996908456,0.9994585934,0.0002322522
0.2000000000,0.9991448572,0.9987333309,0.0004115264
0.2500000000,0.9981909433,0.9975585820,0.0006323613
0.3000000000,0.9967270172,0.9958374582,0.0008895590
0.3500000000,0.9946574908,0.9934793050,0.0011781858
0.4000000000,0.9918932519,0.9903996912,0.0014935607
0.4500000000,0.9883516390,0.9865203940,0.0018312450
0.5000000000,0.9839564122,0.9817693801,0.0021870321
0.5500000000,0.9786377197,0.9760807807,0.0025569390
0.6000000000,0.9723320598,0.9693948622,0.0029371976
0.6500000000,0.9649822375,0.9616579905,0.0033242470
0.7000000000,0.9565373156,0.9528225892,0.0037147264
0.7500000000,0.9469525592,0.9428470908,0.0041054684
0.8000000000,0.9361893747,0.9316958822,0.0044934925
0.8500000000,0.9242152414,0.9193392415,0.0048759999
0.9000000000,0.9110036366,0.9057532688,0.0052503678
0.9500000000,0.8965339532,0.8909198089,0.0056141443
1.0000000000,0.8807914100,0.8748263659,0.0059650441
1.0500000000,0.8637669548,0.8574660113,0.0063009435
1.1000000000,0.8454571595,0.8388372826,0.0066198769
1.1500000000,0.8258641076,0.8189440753,0.0069200323
1.2000000000,0.8049952742,0.7977955262,0.0071997480
1.2500000000,0.7828633982,0.7754058893,0.0074575089
1.3000000000,0.7594863464,0.7517944035,0.0076919429
1.3500000000,0.7348869706,0.7269851528,0.0079018178
1.4000000000,0.7090929564,0.7010069184,0.0080860380
1.4500000000,0.6821366657,0.6738930242,0.0082436415
1.5000000000,0.6540549709,0.6456811742,0.0083737967
1.5500000000,0.6248890824,0.6164132829,0.0084757995
1.6000000000,0.5946843697,0.5861352994,0.0085490703
1.6500000000,0.5634901751,0.5548970241,0.0085931510
1.7000000000,0.5313596219,0.5227519201,0.0086077018
1.7500000000,0.4983494161,0.4897569173,0.0085924988
1.8000000000,0.4645196425,0.4559722122,0.0085474303
1.8500000000,0.4299335556,0.4214610612,0.0084724944
1.9000000000,0.3946573655,0.3862895700,0.0083677955
1.9500000000,0.3587600189,0.3505264776,0.0082335413
2.0000000000,0.3223129764,0.3142429368,0.0080700396
2.0500000000,0.2853899857,0.2775122904,0.0078776953
2.1000000000,0.2480668519,0.2404098452,0.0076570067
2.1500000000,0.2104212041,0.2030126415,0.0074085625
2.2000000000,0.1725322606,0.1653992225,0.0071330381
2.2500000000,0.1344805917,0.1276493994,0.0068311923
2.3000000000,0.0963478810,0.0898440173,0.0065038637
2.3500000000,0.0582166859,0.0520647191,0.0061519667
2.4000000000,0.0201701977,0.0143937091,0.0057764886
2.4500000000,-0.0177079979,-0.0230864827,0.0053784848
2.5000000000,-0.0553341607,-0.0602932364,0.0049590757
2.5500000000,-0.0926246335,-0.0971440759,0.0045194424
2.6000000000,-0.1294960786,-0.1335569017,0.0040608231
2.6500000000,-0.1658657123,-0.1694502208,0.0035845085
2.7000000000,-0.2016515365,-0.2047433745,0.0030918380
2.7500000000,-0.2367725668,-0.2393567627,0.0025841959
2.8000000000,-0.2711490574,-0.2732120639,0.0020630066
2.8500000000,-0.3047027215,-0.3062324522,0.0015297306
2.9000000000,-0.3373569473,-0.3383428079,0.0009858606
2.9500000000,-0.3690370082,-0.3694699248,0.0004329166
3.0000000000,-0.3996702680,-0.3995427101,0.0001275579
3.0500000000,-0.4291863794,-0.4284923790,0.0006940004
3.1000000000,-0.4575174766,-0.4562526427,0.0012648339
3.1500000000,-0.4845983603,-0.4827598895,0.0018384708
3.2000000000,-0.5103666752,-0.5079533576,0.0024133176
3.2500000000,-0.5347630803,-0.5317753014,0.0029877789
3.3000000000,-0.5577314101,-0.5541711483,0.0035602617
3.3500000000,-0.5792188280,-0.5750896481,0.0041291800
3.4000000000,-0.5991759706,-0.5944830123,0.0046929582
3.4500000000,-0.6175570817,-0.6123070455,0.0052500362
3.5000000000,-0.6343201383,-0.6285212658,0.0057988725
3.5500000000,-0.6494269658,-0.6430890168,0.0063379490
3.6000000000,-0.6628433428,-0.6559775686,0.0068657742
3.6500000000,-0.6745390965,-0.6671582088,0.0073808877
3.7000000000,-0.6844881865,-0.6766063231,0.0078818634
3.7500000000,-0.6926687788,-0.6843014651,0.0083673137
3.8000000000,-0.6990633077,-0.6902274155,0.0088358922
3.8500000000,-0.7036585279,-0.6943722299,0.0092862980
3.9000000000,-0.7064455545,-0.6967282760,0.0097172785
3.9500000000,-0.7074198920,-0.6972922594,0.0101276325
4.0000000000,-0.7065814522,-0.6960652386,0.0105162136
4.0500000000,-0.7039345606,-0.6930526282,0.0108819325
4.1000000000,-0.6994879514,-0.6882641911,0.0112237603
4.1500000000,-0.6932547512,-0.6817140203,0.0115407309
4.2000000000,-0.6852524514,-0.6734205085,0.0118319430
4.2500000000,-0.6755028699,-0.6634063071,0.0120965628
4.3000000000,-0.6640321009,-0.6516982749,0.0123338260
4.3500000000,-0.6508704545,-0.6383274150,0.0125430395
4.4000000000,-0.6360523850,-0.6233288020,0.0127235830
4.4500000000,-0.6196164093,-0.6067414982,0.0128749110
4.5000000000,-0.6016050139,-0.5886084603,0.0129965536
4.5500000000,-0.5820645532,-0.5689764352,0.0130881180
4.6000000000,-0.5610451364,-0.5478958474,0.0131492889
4.6500000000,-0.5386005059,-0.5254206757,0.0131798302
4.7000000000,-0.5147879063,-0.5016083220,0.0131795844
4.7500000000,-0.4896679442,-0.4765194704,0.0131484737
4.8000000000,-0.4633044393,-0.4502179392,0.0130865002
4.8500000000,-0.4357642682,-0.4227705232,0.0129937450
4.9000000000,-0.4071171992,-0.3942468301,0.0128703691
4.9500000000,-0.3774357207,-0.3647191088,0.0127166120
5.0000000000,-0.3467948626,-0.3342620711,0.0125327915
