t,y_numerical,y_analytical,error
0.0000000000,1.0000000000,1.0000000000,0.0000000000
0.0050000000,1.0000000000,0.9999999792,0.0000000208
0.0100000000,0.9999999375,0.9999998338,0.0000001038
0.0150000000,0.9999996878,0.9999994396,0.0000002482
0.0200000000,0.9999991269,0.9999986733,0.0000004536
0.0250000000,0.9999981313,0.9999974121,0.0000007192
0.0300000000,0.9999965782,0.9999955337,0.0000010445
0.0350000000,0.9999943455,0.9999929167,0.0000014288
0.0400000000,0.9999913116,0.9999894400,0.0000018716
0.0450000000,0.9999873555,0.9999849834,0.0000023722
0.0500000000,0.9999823571,0.9999794271,0.0000029300
0.0550000000,0.9999761966,0.9999726521,0.0000035445
0.0600000000,0.9999687551,0.9999645400,0.0000042151
0.0650000000,0.9999599140,0.9999549729,0.0000049410
0.0700000000,0.9999495556,0.9999438337,0.0000057219
0.0750000000,0.9999375629,0.9999310059,0.0000065570
0.0800000000,0.9999238191,0.9999163733,0.0000074458
0.0850000000,0.9999082086,0.9998998209,0.0000083877
0.0900000000,0.9998906159,0.9998812337,0.0000093822
0.0950000000,0.9998709265,0.9998604979,0.0000104286
0.1000000000,0.9998490263,0.9998375000,0.0000115263
0.1050000000,0.9998248020,0.9998121271,0.0000126749
0.1100000000,0.9997981408,0.9997842670,0.0000138738
0.1150000000,0.9997689306,0.9997538083,0.0000151223
0.1200000000,0.9997370599,0.9997206399,0.0000164199
0.1250000000,0.9997024178,0.9996846516,0.0000177662
0.1300000000,0.9996648940,0.9996457336,0.0000191604
0.1350000000,0.9996243790,0.9996037769,0.0000206020
0.1400000000,0.9995807638,0.9995586731,0.0000220906
0.1450000000,0.9995339399,0.9995103143,0.0000236256
0.1500000000,0.9994837998,0.9994585934,0.0000252063
0.1550000000,0.9994302361,0.9994034038,0.0000268324
0.1600000000,0.9993731426,0.9993446395,0.0000285031
0.1650000000,0.9993124133,0.9992821952,0.0000302181
0.1700000000,0.9992479430,0.9992159663,0.0000319767
0.1750000000,0.9991796271,0.9991458486,0.0000337785
0.1800000000,0.9991073617,0.9990717388,0.0000356229
0.1850000000,0.9990310434,0.9989935340,0.0000375094
0.1900000000,0.9989505694,0.9989111320,0.0000394374
0.1950000000,0.9988658377,0.9988244313,0.0000414064
0.2000000000,0.9987767469,0.9987333309,0.0000434160
0.2050000000,0.9986831960,0.9986377304,0.0000454656
0.2100000000,0.9985850850,0.9985375303,0.0000475547
0.2150000000,0.9984823141,0.9984326313,0.0000496828
